"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat May 04 16:10:03 BDT 2024","Sat May 04 16:10:10 BDT 2024","6087","","Validate whether the Darkmode is working or not on the Admin Dashboard","","","","Keyboard Shortcut Deactivation",""
"passed","Sat May 04 16:10:10 BDT 2024","Sat May 04 16:10:13 BDT 2024","3135","","Validate whether the Darkmode is working or not on the Admin Dashboard","","","","Flip Animation Validation",""
"passed","Sat May 04 16:01:25 BDT 2024","Sat May 04 16:01:31 BDT 2024","6191","","Dark Mode Plugin Testing","","","","Find & Verify WP Dark Mode Plugin is Installed & Activated",""
"passed","Sat May 04 16:00:51 BDT 2024","Sat May 04 16:01:09 BDT 2024","17086","","Dark Mode Plugin Testing","","","","Validate of admin login",""
"passed","Sat May 04 16:09:54 BDT 2024","Sat May 04 16:09:57 BDT 2024","3042","","Validate whether the Darkmode is working or not on the Admin Dashboard","","","","Dark Mode Custom Scale value 220",""
"passed","Sat May 04 16:02:15 BDT 2024","Sat May 04 16:02:47 BDT 2024","32055","","Dark Mode Plugin Testing","","","","Switch Settings - Change the Floating Switch Position (Left Bottom)",""
"passed","Sat May 04 16:01:09 BDT 2024","Sat May 04 16:01:25 BDT 2024","16692","","Dark Mode Plugin Testing","","","","Check Whether or not WP Dark Mode Plugin is Installed & Activated",""
"passed","Sat May 04 16:01:50 BDT 2024","Sat May 04 16:02:06 BDT 2024","15301","","Dark Mode Plugin Testing","","","","Navigate to the WP Dark Mode & Change Floation Switch Style Settings",""
"passed","Sat May 04 16:01:45 BDT 2024","Sat May 04 16:01:50 BDT 2024","5644","","Dark Mode Plugin Testing","","","","Validate whether the Darkmode is working or not on the Admin Dashboard",""
"passed","Sat May 04 16:09:46 BDT 2024","Sat May 04 16:09:54 BDT 2024","8591","","Validate whether the Darkmode is working or not on the Admin Dashboard","","","","Floating Switch Styles 3rd Tiles Selection",""
"passed","Sat May 04 16:01:31 BDT 2024","Sat May 04 16:01:45 BDT 2024","13365","","Dark Mode Plugin Testing","","","","Enable Backend Darkmode from Settings",""
"passed","Sat May 04 16:09:57 BDT 2024","Sat May 04 16:10:03 BDT 2024","6046","","Validate whether the Darkmode is working or not on the Admin Dashboard","","","","Validate DarkMode Switch Left Position Location",""
"passed","Sat May 04 16:02:32 BDT 2024","Sat May 04 16:02:47 BDT 2024","15408","","Dark Mode Plugin Testing","","","","Enable “Darkmode Toggle Animation” & change the “Animation Effect” from the default selections",""
"passed","Sat May 04 16:02:21 BDT 2024","Sat May 04 16:02:47 BDT 2024","25829","","Dark Mode Plugin Testing","","","","Disable Keyboard Shortcut from the Accessibility Settings",""
"passed","Sat May 04 16:02:06 BDT 2024","Sat May 04 16:02:47 BDT 2024","41464","","Dark Mode Plugin Testing","","","","Switch Settings - Select Custom Switch size & Scale it to 220",""
